text,sentiment
🔥🔥🔥,positive
🔥🔥🔥,neutral
Topp 🔥❤️,positive
"Alhamdulillah... Tidak apa-apa, yang penting bisa mencetak gol ke gawang Jepang.",positive
Doa terbaik untuk timnas Indonesia. Insya Allah menang ❤️,positive
🔥🔥🔥🔥,positive
Gol ini akan membawa timnas lolos ke babak 16 karna bahrain besok akan kalah lumayan banyak dengan yordania 👏,positive
@rizky_melia @febriyoli07 kitagaruda ⚽️🇮🇩🦅,positive
Cutee amayy😍,positive
Tumben tidak ada Paduka Dendy.,neutral
😍😍,positive
"@do_whyy boro boro ngandelin lini depan,,,,lini depan aja buntu,,,,strike nya aja lawak,,,,apalagi lini tengah cuma bagus Ivar Jenner,,,,MARK KLOK itu pemain Tai,,,giring bola aja panikan😂😂,,,kalo liat nya kayak pemain autis",negative
Marselino lemes bgt 😢,negative
"Doa terbaik semoga hasilnya jg baik, semangat Garuda 🔥🔥❤️",positive
RAFAEL GAUSA DI PASANG,negative
Vidio ya laah,neutral
🔥🔥🔥🔥,neutral
buzer kntl,negative
🔥🔥,positive
Alhamdulilah 😍❤️,positive
Argentina awalnya juga kalah tp endingnya juara. Apakah Indonesia akan mengikuti jejak Argentina? Kita tdk ada yg tahu. Ayo Garuda terbang tinggi 🔥,positive
😢,neutral
Datang untuk kalah pulang untuk tangisan,negative
@ferdiemuhammad idih bleja pisan ,neutral
<3,positive
"@rikzanosh_ apa yang mau diharapkan dari STY, bro?",neutral
@aldowihantama siap bng 😂,neutral
Kiww kiww 🔥,positive
🔥❤️🇮🇩,positive
No.8 ?????,neutral
@shintaeyong7777 ini pemain bagus jangan buta @sandywalsh,negative
"Keren, Pak! 🔥🔥",positive
Masih kerasa deg-degan nya bjirrrrrrr,neutral
Loh,neutral
Bismillah🔥,positive
"Jordi salah, jadi gol tadi. Huhhhhhh. 😢😢",negative
@regasaputraa gk mungkin😂,neutral
Mantap trio lord Witan Adam Hokky 😍,positive
Apa sih kelebihan Asnawi?,neutral
Bangga nggak? Ya bangga lah!!! 🔥🔥🔥🔥🔥,positive
"Kalo seri lawan jepang, gua tari uler😂",neutral
"@awi_key87 ga enak kalo jordi di DMF udah pernah ga jalan malah an dia murni bek,tengah enak an klok sama ivar itu lebih enak soalnya klok kalo di duetkan sama ivar bisa jalan enak maennya,kalo belakang apa salahnya pake sandy,jordi/elkan,hubner,patynama",neutral
"Alhamdulillah! Ber-euforia secukupnya, fokus ke laga selanjutnya! 🔥",positive
Tetap tegak kaan kepala garuda pertandingan bukan cuman hari ini ada hari selanjutnya 🔥🔥🔥,positive
"@raniaaati Cewek kalau komen dukung aja, jangan banyak komplain kayak yang ngerti bola. Bikin jelek kolom komen aja. Nonton bola juga karena nyari pemain yang ganteng doang",negative
terimakasih kepada seluruh timnasss 🔥🔥🔥,positive
5-0 udah,neutral
Emot apii pokonamah timnas🔥🔥🔥🙌👏,positive
😍😍😍😍,positive
Trimakasih timnas Garuda sudah berjuang untuk Indonesia kami bangga🇮🇩❤️,positive
Info live streaming di mana?,neutral
Ridho tolol emg tadi,negative
Hubner kelas crossingannya☺,positive
Sinarien alus maneh kuyaaa,neutral
@ghfr.z3 gk nek wasit e malah gk sido main🤣,neutral
@bungtowel8 bung towel seneng ga? seneng dong masa engga,positive
@mochsaid2024 prestasi lu apa dek? Wkwkwk,negative
@junaediakbal Giliran Dendy yang kerjaannya lari doang malah dipertahankan. Kocak! 😂,negative
Pattynama fightinggggg🔥🔥🔥🔥,positive
@opekza_ adu siap cepat larinya,neutral
Plis jangan lawak😢,negative
Mari pulang,negative
👏👏👏,neutral
🙌,positive
Info shyne dong😢,neutral
🔥🔥🔥,positive
@jiiiajiii si Dimas kali yg goblok bang 😂,negative
Harapan itu masih ada 🔥,positive
🔥🔥🔥,positive
Jangan modal nyocot hujat sana sini tapi dukungan di dunia nyata minim chuaksss chuakkss,negative
@442indonesia setujuuuuuuuuuuu👏👏,positive
Sty out udah kebanget kalah mulu😢,negative
@mkn_huda18 ntar lawan Jepang dia turun,neutral
Bismillah bisa Yo 🤲🏻🇮🇩💪🏻,positive
,neutral
🔥🔥🔥,neutral
Ayo bisa tekel wasitnya 😂,neutral
@all_viannn lineup blum keluar aja kmren udah pda hujat naturalisasi ga bakal di mainin cuma krna nmnin presscon udah di hujat abis2an di bilang anak emas sgla mcm haduh payah,negative
"Heran kenapa Syahputra Nama dan Asnawi tidak masuk, padahal mentalnya sudah siap.",negative
@cikgu_yanah pokoknya balaskan dendamnya bang haha,neutral
@shintaeyong7777,neutral
Nice🔥,positive
@xorain.urfav nyuting ke gawang juga letoy😢,negative
2-0 😢,negative
@endowataru,neutral
"Berikan yang terbaik, garuda! Main lepas. Main yg ngotot. Inget, kalian diremehkan. Harus balas dendam. Motivasi nya harus tinggi. Buktiin kalian bisa. 🙌❤️",positive
@ziskaramasyah fakta tapi fans si Grusak enggak terima😂,neutral
@adorable_rafael udah ga heran bang,neutral
"@aan_nursyam bii kalu kaluu eee sinsoraq, anak karaiaangaa😂😂",neutral
Sty stay sampe 2027 jadi kan pak jangan lupa ya,positive
👏👏👏👏👏👏👏👏,neutral
@cimewvv 4-0 kaa indo kalah,negative
Sampai skornya 3-1 buat IRAK... Dah lah males lanjutin nonton,negative
"@hidyattt8803 bang sabar bang, ini masih laga uji coba. Laga yg sesungguhnya nanti kalo lawan Irak. Coba deh kalo lawan Irak nanti masih ga di turunin aja, yaudah terserah mau ngomong apa juga.",neutral
"Memang sejak awal sangat sulit untuk bisa menahan imbang atau mengalahkan Jepang. Kalah dari semua aspek. Cukup bagus bisa kalah 3-1 melawan tim peringkat 17, apalagi bermain di negara lain.",neutral
@arifhii_ 🔥🔥,positive
"@naminarifkii._.33 eh, awis tepang!",positive
"Sananta, kasih main!",neutral
AAAA KASIAN AAAA,neutral
"Pemain tidak berguna, kalian hanya bertahan 90 menit tanpa melakukan apa-apa? Berhentilah bermain sepak bola sekarang juga. Tim ini sangat buruk. Bahkan tidak mencoba menyerang. Pelatih dan seluruh skuad sangat buruk.",negative
MVP Yakob!,positive
🔥🔥🔥🔥🔥,positive
Apapun hasilnya aku tetap bangga. Timnas bisa sampai titik ini sudah sangat berprogres. Percaya proses 🔥,positive
Oke pattynama starting 11,neutral
🔥🔥🔥🔥🔥🔥🔥🔥,positive
Kuncinya ada di group F..,neutral
"kami bangga, proud of you",positive
"Bismillah, tetap semangat dan bangkit lawan Vietnam! 👏 Jangan kendor demi Merah Putih! 🔥🔥",positive
"Ayo gas, bismillah.",positive
Tinggal bantai Nippon Paint,neutral
lanjutkan kontrak & kerja @shintaeyong7777 🔥🇮🇩,positive
🔥🔥🔥,neutral
Semangat Untk Timnas Indonesia,positive
"Depannya yuhhh lebih greget lagi, tengah sama belakang dah cakep, yuh yuhh kontrol bolanya",positive
Alhamdulillah. Perjuangan belum selesai. Kita acak2 laga berikutnya 🔥🔥🔥,positive
yoo bisaaa yook,positive
"Keren banget pertahanan Indonesia, salut! 🔥",positive
Timnas termuda dan rangking 2 terbawah di turnamen 🔥👏🔥,positive
"Sebanyak itu cewek di dunia ini, kenapa mesti striker Jepang yang dipeluk? Gay kah?",negative
Mayan,neutral
Sananta disimpan buat persiapan final,neutral
@hokkycaraka_ MOTM🙌,positive
@pspsriau yang sering imbang gak diajak?,neutral
@dickasgrtooo bulan maret maksudnya,neutral
Alhamdulillah lawan Jepang kudu lebih gacor ygy,positive
Di TV kok Indonesia mainnya jam 10?,neutral
@apissss_14 lambemu rung tau kesampluk helikopter ye?,negative
Gila! 🔥🔥,positive
@rapsgaruda gua tandain nih si monyet 1,negative
"Kenapa harus buat pelanggaran sih, Mat? Ada VAR lo hey 😭 Peluang lolos bijimane ini? Etapi tadi nyentuh tiang gawang bikin deg2an, sumpah 🤧",negative
Fahri Husaini 🤮🤮🤮🤮,negative
👏,positive
🇮🇩❤️🇰🇬,positive
semangatttt yaaaaa!!!!!!,positive
Akhirnya Pattynama 😍😍,positive
"@perseladay_budalkan boleh lah, yg ga boleh yg ga ada d list trs Prescon 😂",neutral
Kompakk lini belakang ada sandy wals🔥,positive
-Berbenah-.,neutral
Live di akun @afc.stream,neutral
🔥🔥🔥,positive
Info live streaming,neutral
"@hokkycaraka_ Jangan diajak main, malas gerak parah!",negative
"@raplijaee Haha bener sih kak, Witan sama Egy juga kenapa dipertahanin, hadeuh. Susah sepak bola Indo kalau mau terus pertahanin anak emas PSSI 😢",negative
"Gimana kalau Peter Huistra latih timnas Indonesia ya, mungkin taktiknya lebih agresif...",neutral
Pada nyari pattnama nanti dia maen jelek dikit di bully sebulan,negative
Kemarin kalah sama Jepang ...,negative
@alwanrifqy Amin,positive
@kritiksty tidak usah norak deh.,negative
😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️,positive
"Emang kurang satu Indonesia striker yang tajam di depan, belum nemu-nemu yang benar-benar oke 😢",negative
TUH SHAYNE YG MAIN UDAH BULLY ARHAN SAMPE KE UBUN' ANJJ💩,negative
Anak tai,negative
🔥🔥🔥🔥,positive
Wow.,neutral
"Main tenang, jangan grusak-grusuk. Fokus, jangan takut melakukan blunder, nanti malah tegang dan blunder 🔥",neutral
Agak wtf ya guys 😂,neutral
Menang Kalah tetap dukung Timnas 🔥🔥🔥,positive
"Hokki konciin aja di hotel, jangan diajak lagih. 2-0 bisa ituu😭",negative
Alhamdulillah 💥🔥,positive
"Gue capek lihat Marselino. Sumpah, kebanyakan bawa bola. Cepat hilang bolanya juga. Capek, tidak berubah-ubah permainannya.",negative
Arhan ngapain dimainkan,negative
@shin_jaewon77 thankyou jaewon!! Respect❤️ #stystay 🔥❤️🇮🇩,positive
Urang iklas lawan 🇦🇺 0-100 oge.. Nu penting ... SEJARAH TERCIPTA CUY🔥🔥🔥❤️❤️😍😍😢😢😢😢,positive
@umam.khateeb_ weka,neutral
👏👏,positive
"Kalau misal STY out.. semoga nanti timnas senior ga balik lagi ke U35, pemain bangkotan yg pada ga punya semangat 😅",negative
Kelas,positive
🔥🔥🔥🔥,neutral
Lah ada Egy? Sadil kemanaaa,neutral
woop pattynama starting 🔥,positive
Mau tanya kenapa @s.pattynama gak main2 sih?😢,neutral
🔥🔥🔥,neutral
"BISMILLAH SEJARAH BARU, SEMANGAT GARUDA❤🇲🇨",positive
"@dhikaaditya27 agak lag, maaf biasa ping naik turun wkkw",neutral
Mending Walsh jadi DMF daripada Hubner,neutral
"Sananta nek ra dinggo balekno wae, ben melu latihan ro cah² !!",neutral
"@tarunaifan dari tadi lari lari berjuang dibilang malas gerak, netizen kaya lo modal ngetik doang gak bisa hargai perjuangan orang",negative
@andikahonda18 Bismillah menang n lolos 8 besar... Justru ketemu Australia ini InsyaAllah lebih beruntung drpd lawan Negara Arab. Skenario Tuhan itu emg Indah🔥🔥🔥 #garudajaya #garudamendunia #garudadipialaasia #doabaik 🇮🇩❤️🌹🔥,positive
Bagot sama ridho kemarin diganti karna cedera mungkin akan main babak kedua,neutral
"@farissaaptr Ada, Kak! Live Indonesia vs Vietnam di TikTok aku @zefrimuh live Indo.",neutral
@ajidv sebelum bertemu kita beli jamu dulu,neutral
Buktikan! 🔥🔥,positive
@imerviii iya tadi masih 2-2,neutral
Optimis menang! 🔥👏,positive
"@lokernas Bang, ada loker? 😂",negative
"Waktu dicoret ngambek, giliran dipanggil lagi cengar-cengir. Mental lokal preettt!",negative
#STYSTAY 🔥🔥🔥🔥,positive
Arhan harusnya di ganti nggk sihh,neutral
Alhamdulillah ya Allah,positive
"Pelatih ini memang aneh, malah lebih suka pemain yang grasak-grusuk.",negative
"Come on, Garuda! 👏👏",positive
Ernando kesurupan Kurnia Mega 🔥,positive
Pemain liga 1 belgia kalah saing sama pemain klub liga 2 korea dan sekarang tanpa club bener di luar nalar 😂,negative
Awalnya tidak yakin Asnawi akan mencetak gol.,neutral
"Curiga livescore tidak berjalan, hanya mengambil hasil akhir saja.",neutral
@iniumma_sky komen yang seharusnya😍,positive
Istimewanya amat apansi? Di maenin mulu sering blunder 😂 padahal ada rizky ridho ngapa ga rizky ridho aja??😂 okelah mungkin pelatih yang lebih tau mudah2an amat ga blunder lagii,negative
🙌🔥🔥,positive
Ernando tepisan mahal,positive
"Keren sekali, Garuda! 🔥👏",positive
@ibbed_87 Tolol.,negative
"Mending Shayne jagain ibunya yang sakit, kasihan. STY kolot.",negative
Yuk bangun yuk jangan mimpi mau lolos grup liat Vietnam tadi aja mustahil indo kalahin,negative
🔥🔥👏👏,positive
kiper jepang geremwhin lemparan arhan kasih paham han,neutral
😂👍 pindah kewarganegaraan cocok,negative
"@rony.firdaus19 jgn liat blunder kesalahan terus guys, penyelamatan nya juga byk bgt itu ber2",neutral
"Perjuangan luar biasa dgn keringat dan darah dari para punggawa timnas 🔥🔥 terimakasih utk kalian semua, teruslah berjuang Garuda 🙏💪",positive
"Alhamdulillah seneng dengernya, gas 🔥",positive
Squad bola atas,positive
🔥🔥🔥,positive
@adinugroho_st Hokky sama Adam kayaknya.,neutral
@rizkahd25_ buat persiapan vs japan,neutral
"@rich.ansr mending enggk usah nonton bola aja bang nonton kartun aja,kalo menang di sanjung kalo kalah dan melakukan kesalahan di hujat",negative
Bru 5 mnit😢😢,neutral
"@zaraa_mrsoefyan Kalau gak paham, diam aja. Indonesia peringkat 142 melawan peringkat 21, mau apa? Syukur 3-1 tuh!",neutral
🔥🔥🔥🔥🔥,positive
Kecewa liat hoky aja greget gak ngotot maenya. 😌,negative
🔥,neutral
TETAP BANGGA🔥🔥🔥🔥,positive
Lawan Jepang Egy Witan cadangin aja😅,neutral
😍🔥,positive
🔥🔥🔥🔥🔥,neutral
Masalah di finishing seperti biasa.,negative
"Coach @shintaeyong7777 pertahankan, awas jangan sampai babak kedua ente salah terapkan taktik",negative
Shayne gantikan Arhan seharusnya 😢,neutral
"@442indonesia tapi netizen maunya instan, jelek/under langsung dihujat kanan kiri 😂",neutral
@hy_ikiii Tolol!,negative
"@karmoen.ogawa buang jauh-jauh tuh nama, bro. Nggak guna.",negative
@rio_fr96 ga usah banyak omong,negative
Ada apa dengan @m.ramadhansn ???,neutral
"ALHAMDULILLAH, YOK BISA YOK TAHAN IMBANG JAPAN🔥🙌",positive
❤️,neutral
🔥🔥🔥,positive
Semangat tim🔥🔥,positive
knp 2? nanggung amat 😂,neutral
"@bimaabhista_13 di Jepang pelatihnya buta kayak elu, jadi bisanya cuma bacot doang. Lu bisanya ngendus-ngendus doang kayak b4baiii",negative
🙌🙌🙌🙌🙌🙌,positive
Asnawi lagi cedera tapi dipaksa main 🗿,negative
Alhamdulillah 🔥🔥🔥,positive
@iim_pedry wkwk bang😭,neutral
@ghalifmahesa orang2 cuman bahas kesalahan lawan irak tp lupa dia yg bawa lolos kualifikasi.,neutral
WALSSSSS 🔥,neutral
Alhamdulillah ya Allah mantap @nandoariiiss,positive
"Terserah kalau jalurnya hoki, memang situ bisa apa? Kayaknya orang ini bahkan tidak lulus PAUD ya 😂😂😂😂",negative
@rueels harus mereka yg di naturisasi mereka yg berkualitas di atas pemain lokal,neutral
😍🔥,positive
Asnawi ngapain?,neutral
"Good game, kalau tadi posisi Hokky diganti Struick pasti jebol itu. Lemas banget Hokky mainnya. Untuk Egy, Witan, dan Adam Alis, kapan berubah jadi lebih baik? Untuk kini, belakang dan kiper🔥🔥🔥🔥👏👏👏👏",negative
"Mari bapak, kita sowan ke akun Kyrgyzstan, kita ucapkan terima kasih 👏🔥🔥",positive
#stystay,neutral
Tetap adam alis,neutral
@bay_tulus ga ada support klo pegang bola,negative
@ghaisan19._ Optimis ya? Wkwkwk,neutral
Setujuu perpanjang pak @erickthohir,positive
"Alhamdulillah, terima kasih Pak Erick, Timnas Indonesia, STY. Love you all ❤️❤️",positive
"@simsonmarada hampir saja berangkat nih, Bang! Hahaha",neutral
