semangat garuda	positive
akun black mamba kyrgistan joel	neutral
yayaya besok bermain disupport dasar netizen rendahan	negative
keep flying high garuda bangga	positive
sananta	neutral
penggantinya	neutral
bnrr udah kalah diapakan aneh mndng fokus pertandingan fens goblok	negative
jordy salah gol huhhhhhh	negative
btj el sablon el seruduk starter diperdebatkan	neutral
lolos nih	neutral
kesel lihat bermain rizki ridho kental tarkam	negative
keep spirit garuda	positive
mengomong sedih namanya puncak butuh kerja keras jatuh bangun pantang menyerah bangga banget pelan capai tujuan utama terbang garuda jaya sepak bola indonesia	positive
permainan indonesia enak ditonton berani pegang bola nyiptain peluang bagus sayang banget kebobolan golgol diantisipasi syukur syukur menang amin	positive
shayne pattynama mainkan	neutral
arhan egyyyyyyyy	negative
balas piala asia	positive
mantap indonesia ayo mainkan lord dendy biar pencinta sepak bola paham disimpan dibawa dimainkan	neutral
strategi terbaik allah tanganmu styyoure terbaik	positive
hokky malas ngejar bola	negative
anak emas ngegolin	neutral
susunan pemain min	neutral
goo indonesia go mainya kelas banget	positive
indonesia menang masyarakat full senyum nih besok tanggal full senyum	positive
abang	neutral
semangat	positive
suka banget mainnya hubner bermain hati indonesia bermain mati salah memilih indonesia	positive
ngeri cok vietnam peringkat nih king indonesia	negative
nguyen pulang duluan	positive
bismillahirrahmanirrahim	positive
serpihan kaca dibanding prestasi abang	negative
lihat klub tarkam komentar centang biru pemain liga	neutral
sty stay	positive
sejarah membanggakanperjuangan patut dihargai	positive
asnawiiii	neutral
ree suburrrr	neutral
menit	neutral
sdm rendah kagak baca caption	negative
hancurkan jepang	positive
bangga indonesia	positive
menahan imbang jepang	positive
menang kalah mendukung garuda	positive
terima kasih garuda	positive
seng mengomong menang bondo pinalty reneeh p one estes	negative
akun buzzer kak	negative
maklum struik sangar	neutral
wkwkwk wajar	neutral
bismilah sejarah letsgo	positive
matur suwon	positive
zputra indonesia alamnya calm	neutral
kemarin lawan iran kayaknya nadeo deh	neutral
keren bikin p	positive
indonesia iran	negative
pelatih	neutral
perpanjang sty erick	positive
harapan	negative
aneh squad sty pemain supersub dicoret sadilarkhan lord dendy masuk dekengan dendy anjing percaya squad	negative
apapun skemamu taktikmu pemain mendukungmu garuda seng tetek dredek tim work utamakan	positive
abang intinya pegang bola panik press lawan pasing penyakit hilang timnas indonesia	neutral
modal nyocot hujat dukungan dunia nyata minim chuaksss chuakkss	negative
wajib ngab	neutral
asnawi cadangin bersorak pas gol	neutral
goll iraq offside tuh var hmm	neutral
fisik kontrol bola defense passing finishing	neutral
shayne pattynama pakai arhan sandy walsh dijadikan coba gblk	negative
kayak zaman simon tinggal dukung kasih support	neutral
rif piala dunia dunia mencangkup negara beda asia bos bentar eh konek gua bilang timnas pemain menyadar boy pemain salah passing	negative
cosplay badut chuaks wkwkwk nguyen anak kesayangan kantor aff	negative
wajar marselino gol lawannya muda zidan lawannya berat	neutral
pay suport bangga²in paham goblog goblog	negative
zidane iqbal bermain mu	neutral
kakak udah seinget gue twt nadeo	neutral
membela bawa indonesia	neutral
oh duta sablon dimainkan biar klubnya	negative
sty pelatih membawa indonesia lolos grup piala asia melaju ketum pssi tersukses sejarah sepak bola indonesia target terpenuhi semoga melaju final juara	positive
ayo garuda	positive
sty progres	positive
sty matanya colok towell	negative
wekom bek	neutral
sabar minn	neutral
tolong bilang sty matanya dibuka lebarlebar	neutral
tolong hokky caraka dimainkan lawan jepang bahaya	neutral
alhamdulillah	positive
mainnya kelas	positive
sepaham bola bu	neutral
min hokky balikin ssb shot jelek dribbling jelek maennya mentah	negative
keok	negative
mangprangkeun show world indonesian football fly sky garuda	positive
keren bingung	negative
joel thankkyuuu	neutral
bismillahirrahmanirrahim	positive
kapten	positive
ah marselino marselino	neutral
sandy walsh sruduk orang camat	neutral
sty stay indonesia	positive
lucu	neutral
bismillahirrahmanirrahim ayo garuda semangat indonesia pantang menyerah berdoa man jadda wa jada	positive
fan suwon fc lahir	neutral
salah bandera	neutral
shayne pattynama	neutral
bismillahirrahmanirrahim menang	positive
mantap benaran cowok bermain digarudahoki wkwkkw	positive
bagoot heading	neutral
semangat lanjuuuutkan garuda	positive
spbo hati	neutral
semangat timnas	positive
